id,task,unit,employee,employee_status,human_minutes_per_unit,human_minutes_kind,human_minutes_basis,method,en_currency,en_human_hourly_cost,en_human_hourly_cost_source,en_human_cost_per_unit,en_ai_cost_per_unit,en_multiple,el_currency,el_human_hourly_cost,el_human_hourly_cost_source,el_human_cost_per_unit,el_ai_cost_per_unit,el_multiple,uk_currency,uk_human_hourly_cost,uk_human_hourly_cost_source,uk_human_cost_per_unit,uk_ai_cost_per_unit,uk_multiple
invoice-entry,Entering a supplier invoice into the records,processed invoice,Nika,live,8,estimate,"The default our public calculator has used since launch: open the mail, read the document, file it, then type supplier, date, number, amount and VAT.",One unit is one invoice that arrives by email and ends up in the records with every field filled. Chasing a missing invoice is not counted.,USD,23.66,bls-oes-2024,3.15,0.4,7.9,EUR,16.7,eurostat-lc-2024,2.23,0.4,5.6,UAH,196.78,ukrstat-wage-2026,26.24,19,1.4
lead-callback,Calling a new enquiry back and booking a meeting,booked qualified meeting,Sofia,waitlist,25,estimate,"Rarely one call. Counts the attempts that go unanswered, the call that connects, the qualifying questions and writing the meeting into the calendar.","One unit is one qualified meeting in the calendar, not one dial. Enquiries that never answer are part of the cost of the ones that do.",USD,23.66,bls-oes-2024,9.86,5,2,EUR,16.7,eurostat-lc-2024,6.96,5,1.4,UAH,196.78,ukrstat-wage-2026,81.99,240,0.3
appointment-rescue,Confirming a booking and re-filling a slot that would be lost,saved slot,Helen,waitlist,12,estimate,The reminder itself is quick. The time goes on the cancellation that arrives late and the calls down the waiting list to fill the gap.,One unit is one slot that would have gone empty and did not. Reminders for bookings that were always going to happen are not counted.,USD,23.66,bls-oes-2024,4.73,1.5,3.2,EUR,16.7,eurostat-lc-2024,3.34,1.5,2.2,UAH,196.78,ukrstat-wage-2026,39.36,70,0.6
review-reply,Reading a customer review and answering it publicly,handled review,Nick,waitlist,9,estimate,"Reading the review, checking what actually happened with that customer, drafting something you are willing to have in public, and posting it.",One unit is one review answered on the platform it was left on. Reviews that need a refund decision go to the owner and are not counted.,USD,23.66,bls-oes-2024,3.55,0.4,8.9,EUR,16.7,eurostat-lc-2024,2.51,0.4,6.3,UAH,196.78,ukrstat-wage-2026,29.52,19,1.6
receivables-chase,Chasing one overdue invoice until it is paid,collected overdue invoice,Daniel,waitlist,20,estimate,"Spread over weeks: the first polite email, the second one, the phone call, and re-checking the bank before each contact so you do not chase money that already arrived.",One unit is one overdue invoice that ends up paid. Time spent on invoices that go to legal or get written off is not counted.,USD,23.66,bls-oes-2024,7.89,2,3.9,EUR,16.7,eurostat-lc-2024,5.57,2,2.8,UAH,196.78,ukrstat-wage-2026,65.59,95,0.7
returns-case,Handling a return or complaint from first message to closed,closed case,Chris,waitlist,14,estimate,"Finding the order, asking for the photo or the reason, explaining the rule, arranging the pickup or the replacement, and closing the thread.",One unit is one case closed under the shop’s own returns rule. Anything needing a goodwill exception goes to the owner.,USD,23.66,bls-oes-2024,5.52,0.8,6.9,EUR,16.7,eurostat-lc-2024,3.9,0.8,4.9,UAH,196.78,ukrstat-wage-2026,45.92,39,1.2
cod-confirmation,Confirming a cash-on-delivery order before it ships,confirmed order,Martha,waitlist,5,estimate,"One short call or message per order, plus the repeat attempts for the customers who do not pick up the first time.",One unit is one order confirmed or cancelled before dispatch — the point of the job is not shipping parcels nobody wanted.,USD,23.66,bls-oes-2024,1.97,0.5,3.9,EUR,16.7,eurostat-lc-2024,1.39,0.5,2.8,UAH,196.78,ukrstat-wage-2026,16.4,25,0.7
customer-winback,Reaching a lapsed customer until they buy again,returned customer,Andrew,waitlist,18,estimate,"Most of it is the people who never come back. Counts pulling the list, the message, the follow-up, and the ones that go nowhere.",One unit is one customer who actually buys again. The unanswered attempts are the cost of the ones that work.,USD,23.66,bls-oes-2024,7.1,3,2.4,EUR,16.7,eurostat-lc-2024,5.01,3,1.7,UAH,196.78,ukrstat-wage-2026,59.03,145,0.4
supplier-price-check,Collecting supplier prices into one weekly comparison,weekly report,Peter,waitlist,95,estimate,"A weekly report, not a single lookup: opening every supplier’s list or portal, copying the lines that matter, and putting last week’s prices next to this week’s.",One unit is one week’s comparison across the suppliers you actually buy from. Negotiating with them is a separate job.,USD,23.66,bls-oes-2024,37.46,10,3.7,EUR,16.7,eurostat-lc-2024,26.44,10,2.6,UAH,196.78,ukrstat-wage-2026,311.57,480,0.6
quote-build,Building a quote and sending it out,sent quote,Tom,waitlist,16,estimate,"Reading what the customer asked for, finding the right prices, writing it into the template, checking the total, and sending.",One unit is one quote sent from your own price list and template. Custom pricing decisions go to the owner.,USD,23.66,bls-oes-2024,6.31,0.8,7.9,EUR,16.7,eurostat-lc-2024,4.45,0.8,5.6,UAH,196.78,ukrstat-wage-2026,52.47,39,1.3
